user,liked,follower,artist
Dani De Vitto,true,,Radiohead
Dani De Vitto,true,true,Deep Purple
Dani De Vitto,true,,Coldplay
Dani De Vitto,true,true,Led Zeppelin
Dani De Vitto,true,,blink-182
Dani De Vitto,true,true,The Doors
Dani De Vitto,true,true,The Who
Dani De Vitto,true,,The Strokes
Dani De Vitto,true,,Pearl Jam
Dani De Vitto,true,,Nirvana
Dani De Vitto,true,true,Queen
Dani De Vitto,true,true,Creedence Clearwater Revival
Dani De Vitto,true,,The Beatles
Dani De Vitto,true,,Queens of the Stone Age
Dani De Vitto,true,true,Eric Clapton
Dani De Vitto,true,,The Kooks
Dani De Vitto,true,true,Pink Floyd
Dani De Vitto,true,,The Offspring
Táinara Curu,true,true,Johnossi
Táinara Curu,true,,Lisa Ekdahl
Táinara Curu,true,true,Mohombi
Táinara Curu,true,,Alesso
Táinara Curu,true,,Alice in Videoland
Táinara Curu,true,,Ane Brun
Táinara Curu,true,true,Peter Bjorn and John
Táinara Curu,true,,Anja Garbarek
Táinara Curu,true,true,ABBA
Táinara Curu,true,,Tiger Lou
Táinara Curu,true,,Kent
Táinara Curu,true,,Melody Club
Táinara Curu,true,,The Concretes
Táinara Curu,true,true,Immanu El
Táinara Curu,true,,Bondage Fairies
Táinara Curu,true,true,The Hellacopters
Dioch war,true,,Los Fabulosos Cadillacs
Dioch war,true,,Móveis Coloniais de Acaju
Dioch war,true,,Ska-P
Dioch war,true,true,Los Hermanos
Dioch war,true,,Saves the Day
Dioch war,true,true,Dogs Die in Hot Cars
Dioch war,true,,Reel Big Fish
Dioch war,true,,Capdown
Dioch war,true,,Rancid
Dioch war,true,,Reel Big Fish
Dioch war,true,,Leftöver Crack
Dioch war,true,true,Reel Big Fish
Dioch war,true,true,Me First and the Gimme Gimmes
Juju Souza,true,,The Fiery Furnaces
Juju Souza,true,true,Ska-P
Juju Souza,true,,Hot Water Music
Jane Jupira,true,,Beastie Boys
Jane Jupira,true,true,Symphony X
Jane Jupira,true,true,Hans Zimmer
Jane Jupira,true,,Volcano Choir
Jane Jupira,true,,Tiësto
Jane Jupira,true,,Nine Inch Nails
Jane Jupira,true,,Baroness
Jane Jupira,true,,Apocalyptica
Jane Jupira,true,true,Cream
